"APPOINTED DATES & SESSIONS","DATE","TYPE","SITTINGS CONTENT","RESOLUTION/RESULT"
"第８屆第３會期第１次臨時會","102/06/17","司法及法制委員會","繼續併案審查(一)考試院、行政院函請審議「公教人員保險法修正草案」；(二)委員葉宜津等26人擬具「公教人員保險法第三條、第十二條及第十二條之一條文修正草案」；(三)委員蔣乃辛等21人擬具「公教人員保險法增訂第十九條之一條文草案」；(四)委員邱志偉等22人擬具「公教人員保險法第二條條文修正草案」；(五)委員黃昭順等20人擬具「公教人員保險法第二條條文修正草案」；(六)委員蔣乃辛等23人擬具「公教人員保險法第十四條條文修正草案」；(七)委員吳育仁等20人擬具「公教人員保險法第二條條文修正草案」；(八)委員潘孟安等18人擬具「公教人員保險法第五條條文修正草案」；(九)委員蔣乃辛等24人擬具「公教人員保險法第二條條文修正草案」；(十)本院國民黨黨團擬具「公教人員保險法部分條文修正草案」；(十一)委員吳宜臻等18人擬具「公教人員保險法修正草案」及(十二)委員王惠美等27人擬具「公教人員保險法第十四條條文修正草案」案 。","審查完竣"
"第８屆第３會期第１次臨時會","102/06/14","院會","行政院院長提出推動十二年國民基本教育政策專案報告並備質詢","詢答完畢"
"第８屆第３會期第１次臨時會","102/06/13","院會","全院委員會報告審查行政院函，為貴院通過之「會計法」第99條之1修正條文，經研議確屬窒礙難行，依憲法增修條文第3條第2項第2款之規定，移請貴院覆議案。","原決議不予維持"
"第８屆第３會期第１次臨時會","102/06/13","全院委員會","一、行政院函，為貴院通過「會計法」第99條之1修正條文，經研議確屬窒礙難行，依憲法增修條文第3條第2項第2款之規定，移請貴院覆議案；二、總統府秘書長函，為貴院通過修正「會計法」第99條之1條文，咨請總統公布乙案，經行政院研議，以該案確屬窒礙難行，已依憲法增修條文第3條第2項第2款規定，呈奉總統核可，移請貴院覆議案。","均審查完竣"
"第８屆第３會期","102/05/31","院會","修正會計法第九十九條之一條文","完成三讀"
"第８屆第３會期","102/05/31","院會","修正專利法第三十二條、第四十一條、第九十七條、第一百十六條及第一百五十九條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","衛生福利部組織法草案","完成三讀"
"第８屆第３會期","102/05/31","院會","衛生福利部國民健康署組織法草案","完成三讀"
"第８屆第３會期","102/05/31","院會","「駐菲律賓臺北經濟文化辦事處與馬尼拉經濟文化辦事處間刑事司法互助協定」","通過"
"第８屆第３會期","102/05/31","院會","修正社會救助法第四十四條之三條文","完成三讀"
"第８屆第３會期","102/05/31","院會","衛生福利部疾病管制署組織法草案","完成三讀"
"第８屆第３會期","102/05/31","院會","衛生福利部國家中醫藥研究所組織法草案","完成三讀"
"第８屆第３會期","102/05/31","院會","「行政院衛生署中央健康保險局組織法」名稱修正為「衛生福利部中央健康保險署組織法」","完成三讀"
"第８屆第３會期","102/05/31","院會","勞工安全衛生法修正草案","交黨團協商"
"第８屆第３會期","102/05/31","院會","修正商港法第十一條條文","不予修正"
"第８屆第３會期","102/05/31","院會","衛生福利部社會及家庭署組織法草案","完成三讀"
"第８屆第３會期","102/05/31","院會","耀華玻璃股份有限公司管理委員會102年度預算書案","完成三讀"
"第８屆第３會期","102/05/31","院會","國家運動訓練中心設置條例草案","協商後處理"
"第８屆第３會期","102/05/31","院會","本院親民黨黨團，建請決議：「本院依憲法第六十三條賦予立法院有議決國家重要事項之憲政權力，要求行政院應即就層出不窮於食品或食品添加物中添加非經許可添加物之違法殘害國民健康行為，召集衛生署、環保署、經濟部、法務部等相關部會組成專案小組，於三個月內釐清權屬、協調分工，並全盤檢討行政作業之配套調整，從進口、製造、銷售到消費端之整條國家食品安全鏈防線。此一行政作業配套調整，須包含以下必要項目：一、建置工廠管理登記分流、進口貨號編碼分流等就源分流管理機制，以確保食品用與非食品用之化學物質，從原料至產品之有效分流管理；二、通盤檢討並強化食品及食品添加物製造廠暨供應商之查驗認證、定期講習及處罰檢舉等行政規範，以完備並落實食安標準及流程控管；三、複方食品添加物及食用香料需強制登錄並於產品上標示成分。」是否有當？敬請公決。","通過"
"第８屆第３會期","102/05/31","院會","教育部青年發展署組織法草案","完成三讀"
"第８屆第３會期","102/05/31","院會","增訂志願服務法第五條之一條文；並修正第五條、第十八條及第二十條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","食品衛生管理法","完成三讀"
"第８屆第３會期","102/05/31","院會","增訂航業法第二十七條之一、第三十二條之一及第五十條之一條文；修正第三條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","增訂海關緝私條例第四十五條之二條文；刪除第四十九條條文；修正第二十七條、第四十一條、第四十五條之一、第四十六條至第四十八條及第四十九條之一至第五十一條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","漁業法部分條文修正草案","交黨團協商"
"第８屆第３會期","102/05/31","院會","修正傳染病防治法第四條、第九條、第二十七條、第三十二條、第三十九條、第四十六條、第五十條、第五十九條、第六十二條、第六十七條及第六十九條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","公路法部分條文修正草案","交黨團協商"
"第８屆第３會期","102/05/31","院會","中華民國102年度中央政府總預算案（含附屬單位預算及綜計表－營業及非營業部分）」案","協商後處理"
"第８屆第３會期","102/05/31","院會","科技部組織法草案等案","協商後處理"
"第８屆第３會期","102/05/31","院會","溫泉法部分條文修正草案","交黨團協商"
"第８屆第３會期","102/05/31","黨團協商會議","國民黨黨團召集協商（壹）：一、本院司法及法制、內政兩委員會報告併案審查行政院函請審議、親民黨黨團及委員林正二等25人分別擬具「內政部組織法修正草案」案、行政院函請審議「內政部消防署組織條例修正草案」及委員管碧玲等21人擬具「內政部消防署組織條例第十一條條文修正草案」案暨行政院函請審議「內政部國土管理署組織法草案」案；二、行政院函請審議「勞動部勞動及職業安全衛生研究所組織法草案」案。（貳）：一、行政院函請審議「內政部警政署組織法草案」及委員王育敏等25人擬具「內政部警政署組織法草案」案；行政院函請審議「內政部入出國及移民署組織法修正草案」、「內政部役政署組織法草案」、「內政部空中勤務總隊組織法修正草案」及「內政部建築研究所組織法草案」案；二、行政院函請審議「大陸委員會組織法草案」案；三、行政院函請審議、委員丁守中等20人、委員姚文智等16人分別擬具「海洋委員會組織法草案」及「海洋委員會海巡署組織法草案」案；四、委員林郁方等20人擬具「行政院組織法第三條條文修正草案」、委員邱文彥等81人擬具「行政院組織法第三條及第四條條文修正草案」及委員吳宜臻等22人擬具「行政院組織法第四條條文修正草案」案；五、委員林郁方等20人、委員邱文彥等81人分別擬具「中央行政機關組織基準法第二十九條條文修正草案」及委員吳宜臻等22人擬具「中央行政機關組織基準法第三十一條條文修正草案」案。","協商完畢"
"第８屆第３會期","102/05/31","院會","增訂軍人保險條例第十六條之三條文；刪除第八條條文；修正第三條至第七條、第十條、第十六條及第二十條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","「行政院衛生署食品藥物管理局組織法」名稱修正為「衛生福利部食品藥物管理署組織法」","完成三讀"
"第８屆第３會期","102/05/31","院會","增訂學位授予法第七條之三條文","完成三讀"
"第８屆第３會期","102/05/31","院會","增訂國際金融業務條例第一章章名、第二章章名、第三章章名、第二十二條之三至第二十二條之十一及第四章章名；修正第一條、第二條及第四條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","財團法人工業技術研究院102年度預算書案","完成三讀"
"第８屆第３會期","102/05/31","院會","修正身心障礙者權益保障法第五十三條條文","完成三讀"
"第８屆第３會期","102/05/31","院會","親民黨黨團，鑒於推動綠色建築已成世界趨勢，我國雖已推行多年，然應更進一步推廣，以達節能減碳與永續發展目標。台灣能源自給率僅百分之三，也是全球第十八名缺水國家而國人均年用電量高達10,237度，每人平均年排碳量高達11.66公噸，顯有改善之處。爰此本院親民黨黨團建請決議：一、政府應負起推動綠建築認證工作，率先要求所有新建公有建築物皆須符合綠建築標準；預算金額越高者，須達到較現行辦法更嚴格之標準。二、政府應針對現有公有建築物，訂定優先順序，依照內政部「建築節能與綠廳舍改善補助計劃」，全面進行公有建物綠建築更新工程，以達國家節能減碳總計畫目標。行政院應在推動綠建築政策上發揮示範性作用，針對上述決議立即進行規劃於立法院第八屆第四會期休會前至內政委員會進行專案報告，並於民國104年起落實推動。以上建議，是否有當？敬請公決。","交黨團協商"
"第８屆第３會期","102/05/31","院會","修正中華民國刑法第一百八十五條之三及第一百八十五條之四條文","完成三讀"
"第８屆第３會期","102/05/30","財政委員會","邀請財政部張部長、金融監督管理委員會陳主任委員、中央銀行彭總裁及公股行庫董事長、總經理列席報告「公股行庫十年來相關金融監管機關檢查提出之缺失、糾正或處分之處理與改善情形」，並備質詢。","報告及詢答完畢"
"第８屆第３會期","102/05/30","教育及文化委員會","一、行政院原子能委員會就「核能研究所接受台灣電力公司之委託或經費支援案」提出專案報告；二、行政院原子能委員會函為102年度中央政府總預算該會主管第1項決議(三)，凍結「一般行政」預算五分之一乙案，請安排報告案；三、行政院原子能委員會函為102年度中央政府總預算該署主管第1項決議(四)，凍結「原子能科學發展」500萬元乙案，請安排報告案；四、行政院原子能委員會函為102年度中央政府總預算該會主管第1項決議(六)，凍結「醫用及非醫用游離輻射安全防護檢查與管制」預算三分之一乙案，請安排報告案；五、行政院原子能委員會函為102年度中央政府總預算該會主管第1項決議(八)，凍結「核設施安全管制」2,000萬元乙案，請安排報告案；六、行政院原子能委員會函為102年度中央政府總預算決議，凍結第2目「原子能管理發展業務」第4節「核子保安與應變」500萬元，俟向本院教育及文化委員會報告經同意後始得動支乙案，請安排報告案；七、行政院原子能委員會函為102年度中央政府總預算該會主管第3項決議(六)，檢送凍結「放射性物料管理作業」預算五分之一之解凍報告，請安排報告案；八、行政院原子能委員會函為102年度中央政府總預算該會主管第3項決議(七)，「放射性廢棄物營運安全管制」預算凍結五分之一乙案，請安排報告案。","一、報告及詢答完畢；二至八均准予動支。"
"第８屆第３會期","102/05/30","經濟委員會","一、審查行政院函送財團法人中華經濟研究院102年度預算書案；二、審查經濟部函送財團法人台灣區雜糧發展基金會、財團法人台灣機電工程服務社、財團法人台灣非破壞檢測協會、財團法人台灣電子檢驗中心、財團法人中衛發展中心、財團法人自行車暨健康科技工業研究發展中心、財團法人石材暨資源產業研究發展中心、財團法人全國認證基金會102年度預算書案。","均審查完竣"
"第８屆第３會期","102/05/30","司法及法制委員會","一、處理中華民國102年度中央政府總預算案關於法務部及所屬預算凍結項目共13案；二、處理中華民國102年度中央政府總預算案關於行政院研究發展考核委員會及所屬預算凍結項目共5案；三、處理中華民國102年度中央政府總預算案關於行政院人事行政總處及所屬預算凍結項目共9案；四、處理中華民國102年度中央政府總預算案關於考試院及所屬預算凍結項目共5案；五、處理中華民國102年度中央政府總預算案關於監察院預算凍結項目共5案；六、處理中華民國102年度中央政府總預算案關於監察院預算決議項目共3案；七、併案審查(一)考試院函請審議「公務人員訓練進修法部分條文修正草案」及(二)考試院函請審議「公務人員訓練進修法第三條條文修正草案」案；八、併案審查(一)考試院、行政院函請審議「公教人員保險法修正草案」、(二)委員葉宜津等26人擬具「公教人員保險法第三條、第十二條及第十二條之一條文修正草案」、(三)委員蔣乃辛等21人擬具「公教人員保險法增訂第十九條之一條文草案」、(四)委員邱志偉等22人擬具「公教人員保險法第二條條文修正草案」、(五)委員黃昭順等20人擬具「公教人員保險法第二條條文修正草案」、(六)委員蔣乃辛等23人擬具「公教人員保險法第十四條條文修正草案」、(七)委員吳育仁等20人擬具「公教人員保險法第二條條文修正草案」、(八)委員潘孟安等18人擬具「公教人員保險法第五條條文修正草案」、(九)委員蔣乃辛等24人擬具「公教人員保險法第二條條文修正草案」、(十)本院國民黨黨團擬具「公教人員保險法部分條文修正草案」及(十一)委員吳宜臻等18人擬具「公教人員保險法修正草案」案。","一、除第（四）案繼續凍結八分之一外，餘均准予動支；二、除第(二)案繼續凍結十分之一外，餘均准予動支；三至五均准予動支；六、另定期繼續處理；七、審查完竣；八、另定期繼續審查。"
"第８屆第３會期","102/05/30","交通委員會","一、行政院函請審議「廣播電視壟斷防制與多元維護法草案」案；二、民進黨黨團擬具「反媒體壟斷法草案」案；三、委員楊麗環等22人擬具「跨媒體壟斷防制法草案」案。","均審查完竣"
"第８屆第３會期","102/05/30","社會福利及衛生環境委員會","繼續併案審查行政院函請審議「食品衛生管理法修正草案」、行政院函請審議「食品衛生管理法第三十二條、第三十二條之一及第三十六條條文修正草案」、本院委員賴士葆等29人擬具「食品衛生管理法增訂第七條之一、第十四條之二及第三十四條之一條文草案」、委員盧秀燕等46人、委員段宜康等16人分別擬具「食品衛生管理法部分條文修正草案」、委員江惠貞等18人、委員蔣乃辛等19人分別擬具「食品衛生管理法增訂第十九條之一條文草案」、委員江惠貞等20人擬具「食品衛生管理法第二十條條文修正草案」、委員蔣乃辛等30人擬具「食品衛生管理法增訂第二十條之一條文草案」、委員王育敏等27人擬具「食品衛生管理法第十九條之一及第三十二條條文修正草案」、委員孫大千等21人擬具「食品衛生管理法第三十一條及第三十四條條文修正草案」、委員劉建國等19人擬具「食品衛生管理法增訂部分條文草案」、委員蔡錦隆等18人擬具「食品衛生管理法第十七條及第二十七條條文修正草案」、委員田秋堇等17人分別擬具「食品衛生管理法部分條文修正草案」及委員王育敏等31人擬具「食品衛生管理法第十七條條文修正草案」等15案。","審查完竣"
"第８屆第３會期","102/05/30","黨團協商","國民黨黨團召集行政院函請審議及委員李昆澤等21人擬具「海關緝私條例部分條文修正草案」","協商完畢"
"第８屆第３會期","102/05/30","內政委員會","一、處理102年度中央政府總預算案有關行政院海岸巡防署及所屬預算凍結項目報告案計11案；二、邀請行政院大陸委員會主任委員王郁琦、財團法人海峽交流基金會董事長林中森、經濟部次長、行政院勞工委員會副主任委員就「兩岸服務貿易協議之進度、內容、效益以及對我國相關產業及就業之影響」，提出專題報告並備質詢；另請內政部、交通部、文化部、教育部、行政院衛生署、行政院環境保護署、金融監督管理委員會、國家通訊傳播委員會、行政院公共工程委員會、行政院經濟建設委員會派員列席並備質詢。","一、均准予動支；二、報告及詢答完畢。"
"第８屆第３會期","102/05/29","司法及法制委員會","舉行「誰A了我的錢─如何防治貪污」公聽會",""
"第８屆第３會期","102/05/29","財政委員會","繼續併案審查行政院函請審議「財政收支劃分法修正草案」暨本院委員李昆澤等26人、民進黨黨團、委員趙天麟等24人及委員賴士葆等22人分別擬具「財政收支劃分法修正草案」、委員張嘉郡等22人、委員李應元等23人、親民黨黨團及委員林岱樺等22人分別擬具「財政收支劃分法部分條文修正草案」、委員陳明文等22人、委員楊瓊瓔等18人分別擬具「財政收支劃分法第十六條之一條文修正草案」、委員陳亭妃等22人擬具「財政收支劃分法第十二條、第十六條之一及第三十七條條文修正草案」、委員盧秀燕等21人擬具「財政收支劃分法第三十七條條文修正草案」、委員楊瓊瓔等28人擬具「財政收支劃分法增訂第十六條之二條文草案」、委員楊瓊瓔等17人擬具「財政收支劃分法第八條、第十一條及第三十七條條文修正草案」、委員鄭天財等23人擬具「財政收支劃分法增訂第三十條之一及第三十條之二條文草案」、委員蕭美琴等20人擬具「財政收支劃分法第四條條文修正草案」、台灣團結聯盟黨團擬具「財政收支劃分法部分條文修正草案」、委員劉建國等24人擬具「財政收支劃分法第八條、第十一條及第十六條之一條文修正草案」、委員高金素梅等22人擬具「財政收支劃分法第十一條及第十六條之一條文修正草案」計20案。","另定期繼續審查"
"第８屆第３會期","102/05/29","內政委員會","一、審查本院委員廖國棟等22人擬具「地方制度法部分條文修正草案」案；二、審查本院委員段宜康等17人擬具「地方制度法部分條文修正草案」案；三、審查本院委員孔文吉等28人擬具「地方制度法第一條及第八十七條之四條文修正草案」案；四、審查本院委員魏明谷等22人擬具「地方制度法第四條條文修正草案」案；五、審查本院委員黃文玲等22人擬具「地方制度法第二十六條條文修正草案」案；六、審查本院委員陳歐珀等21人擬具「地方制度法增訂第三十條之一條文草案」案；七、審查本院委員趙天麟等21人擬具「地方制度法第四十四條條文修正草案」案；八、審查本院委員許智傑等19人擬具「地方制度法第四十四條條文修正草案」案；九、審查本院委員鄭天財等22人擬具「地方制度法第五十五條條文修正草案」案；十、審查本院委員吳秉叡等18人擬具「地方制度法第五十五條、第五十六條及第五十七條條文修正草案」案；十一、審查本院委員林岱樺等21人擬具「地方制度法第六十三條及第六十七條條文修正草案」案；十二、審查本院委員吳秉叡等17人擬具「地方制度法第七十九條條文修正草案」案；十三、審查本院委員李俊俋等16人擬具「地方制度法第八十二條條文修正草案」案；十四、審查本院委員羅明才等31人擬具「地方制度法第八十七條之三條文修正草案」案；十五、審查本院委員林正二等18人擬具「地方制度法增訂第八十七條之四條文草案」案；十六、審查請願案一案。","一至十五均另定期繼續審查；十六、不成為議案。"
"第８屆第３會期","102/05/29","經濟委員會","一、審查本院委員李貴敏等46人擬具「專利法第三十二條、第四十一條及第九十七條條文修正草案」案；二、審查本院委員丁守中等17人擬具「專利法部分條文修正草案」案；三、審查本院委員薛凌等19人擬具「專利法第三十二條條文修正草案」案；四、審查本院委員許忠信等18人擬具「專利法第一百十六條條文修正草案」案。","均審查完竣"
"第８屆第３會期","102/05/29","外交及國防委員會","一、邀請外交部部長林永樂報告「我國國際文宣工作」，並備質詢；二、處理院會交付外交部102年度預算凍結案等7案。","一、報告及詢答完畢；二、均准予動支。"
"第８屆第３會期","102/05/29","司法及法制委員會","一、併案審查（一）委員劉建國等18人擬具「戒嚴時期人民受損權利回復條例部分條文修正草案」及（二）委員張嘉郡等21人擬具「戒嚴時期人民受損權利回復條例第四條、第四條之一及第四條之二條文修正草案」案；二、處理102年度立法院預算凍結案。","一、另定期繼續審查；二、均准予動支。"
"第８屆第３會期","102/05/29","社會福利及衛生環境委員會","一、繼續併案審查行政院函請審議「毒性化學物質管理法部分條文修正草案」及本院委員劉建國等19人、委員蘇清泉等26人分別擬具「毒性化學物質管理法部分條文修正草案」等3案；二、繼續併案審查行政院函請審議「食品衛生管理法修正草案」、行政院函請審議「食品衛生管理法第三十二條、第三十二條之一及第三十六條條文修正草案」、本院委員賴士葆等29人擬具「食品衛生管理法增訂第七條之一、第十四條之二及第三十四條之一條文草案」、委員盧秀燕等46人、委員段宜康等16人分別擬具「食品衛生管理法部分條文修正草案」、委員江惠貞等18人、委員蔣乃辛等19人分別擬具「食品衛生管理法增訂第十九條之一條文草案」、委員江惠貞等20人擬具「食品衛生管理法第二十條條文修正草案」、委員蔣乃辛等30人擬具「食品衛生管理法增訂第二十條之一條文草案」、委員王育敏等27人擬具「食品衛生管理法第十九條之一及第三十二條條文修正草案」、委員孫大千等21人擬具「食品衛生管理法第三十一條及第三十四條條文修正草案」、委員劉建國等19人擬具「食品衛生管理法增訂部分條文草案」、委員蔡錦隆等18人擬具「食品衛生管理法第十七條、第二十七條條文修正草案」、委員田秋堇等17人分別擬具「食品衛生管理法部分條文修正草案」、委員王育敏等31人擬具「食品衛生管理法第十七條條文修正草案」等15案。","均審查完竣"
