2013-10-22,08-04-YS-06,孫大千,debate,．就食品安全及gmp、cas、haccp標章的問題提出質詢。．就保險業監理問題提出質詢。．就一綱多本的問題提出質詢。,
2013-10-22,08-04-YS-06,陳根德,debate,．就夏立言先生將擔任國防部副部長的問題提出質詢。．就兩岸關係問題提出質詢。．就自由經濟島問題提出質詢。．就行政院組織改造之後，中央人事費用不減反增的問題提出質詢。,
2013-10-22,08-04-YS-06,姚文智,debate,．就所謂的關說案問題提出質詢。．就食品衛生安全問題提出質詢。,
2013-10-22,08-04-YS-06,蘇震清,debate,．就夏立言接任國防部副部長問題提出質詢。．就拚經濟問題提出質詢。．就高鐵延伸到屏東的問題提出質詢。,
2013-10-22,08-04-YS-06,王育敏,debate,．就食品安全及認證標章的問題提出質詢。．就奶粉漲價的問題提出質詢。,
2013-10-22,08-04-YS-06,陳淑慧,debate,．就教育部政次陳益興去職問題提出質詢。．就拚經濟問題提出質詢。．就財政改革問題提出質詢。．就教育經費使用的問題提出質詢。．就勞委會職訓局推出名師高徒計畫的問題提出質詢。,
2013-10-22,08-04-YS-06,羅明才,debate,．就食品安全問題提出質詢。．就調降電信資費問題提出質詢。．就拚經濟的問題提出質詢。．就103年歲入歲出差短的問題提出質詢。．就地方建設問題提出質詢。．補充書面質詢。,
2013-10-18,08-04-YS-06,柯建銘,debate,．江院長破壞憲政體制的問題。．特務治國的問題。．監聽國會的問題。,
2013-10-18,08-04-YS-06,許忠信,debate,．就監聽問題提出質詢。．就電價調漲問題提出質詢。．就企業減稅補貼問題提出質詢。．就開放中資來臺投資半導體、面板、led問題提出質詢。．就財政問題提出質詢。,
2013-10-18,08-04-YS-06,蔣乃辛,debate,．就食品安全衛生管理問題提出質詢。．就經濟問題提出質詢。,
2013-10-18,08-04-YS-06,高志鵬,debate,．就9月政爭提出質詢。．就監聽浮濫問題提出質詢。．就電價調整問題提出質詢。,
2013-10-18,08-04-YS-06,廖正井,debate,．就特偵組監聽問題提出質詢。．就臺灣薪資倒退問題提出質詢。．就自由經濟島問題提出質詢。,
2013-10-18,08-04-YS-06,吳秉叡,debate,．就9月政爭問題提出質詢。．就監聽問題提出質詢。．就大埔強拆民宅逼死人命問題提出質詢。,
2013-10-18,08-04-YS-06,江惠貞,debate,．就食品安全問題提出質詢。．就汐止捷運問題提出質詢。．就公共建設問題提出質詢。．就新北市與臺北市自來水問題提出質詢。．就長照制度問題提出質詢。,
2013-10-18,08-04-YS-06,林滄敏,debate,．就電價漲價問題提出質詢。．就開發綠能問題提出質詢。．就村里長自強活動費用被刪問題提出質詢。．就不肖經理人坑殺政府基金問題提出質詢。,
2013-10-18,08-04-YS-06,林滄敏,debate,102/06/14 立法院第8屆第3會期第1次臨時會第1次會議,
2013-10-18,08-04-YS-06,行政院院長江宜樺報告,report,行政院院長提出推動十二年國民基本教育政策專案報告並備質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0007;0013
2013-10-18,08-04-YS-06,林正二,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0013;0016
2013-10-18,08-04-YS-06,黃文玲,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0016;0020
2013-10-18,08-04-YS-06,李俊俋,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0020;0027
2013-10-18,08-04-YS-06,楊瓊瓔,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0027;0031
2013-10-18,08-04-YS-06,陳怡潔,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0031;0038
2013-10-18,08-04-YS-06,林世嘉,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0038;0044
2013-10-18,08-04-YS-06,陳亭妃,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0044;0048
2013-10-18,08-04-YS-06,陳碧涵,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0048;0052
2013-10-18,08-04-YS-06,李桐豪,debate,對行政院院長提出推動十二年國民基本教育政策專案報告進行質詢。,http://lis.ly.gov.tw/lgcgi/lypdftxt?10204601;0052;0055
